Дата;Сумма;Наличность;Сумма (куда);Наличность (куда);Баланс;Категория;Описание;Тип транзакции;Контрагент;Чек #;Класс;
13 июля 2019 г., 11:59:59;0,00 ₽;Сберегательный;;;0,00 ₽;; ;Открытие баланса;;;;
13 июля 2019 г., 11:59:59;0,00 ₽;Наличка;;;0,00 ₽;; ;Открытие баланса;;;;
13 июля 2019 г., 11:59:59;0,00 ₽;Кредитка;;;0,00 ₽;; ;Открытие баланса;;;;
13 июля 2019 г., 11:59:59;0,00 US$;Доллары citi;;;0,00 US$;; ;Открытие баланса;;;;
13 июля 2019 г., 12:00:00;0,00 US$;Доллары citi;;;0,00 US$;Другое+ ; ;Доход;;;;
13 июля 2019 г., 12:00:00;0,00 ₽;Сберегательный;;;0,00 ₽;Другое+ ; ;Доход;;;;
13 июля 2019 г., 12:00:00;3 500,00 ₽;Наличка;;;3 500,00 ₽;Другое+ ; ;Доход;;;;
13 июля 2019 г., 12:00:00;50 000,00 ₽;Кредитка;;;50 000,00 ₽;Другое+ ; ;Доход;;;;
14 июля 2019 г., 12:00:00;200,00 ₽;Наличка;;;3 300,00 ₽;Метро ; Автобус на 20;Расход;;;;
14 июля 2019 г., 12:00:00;520,00 ₽;Наличка;;;2 780,00 ₽;Метро ; Метро;Расход;;;;
14 июля 2019 г., 12:00:00;60,00 ₽;Кредитка;;;49 940,00 ₽;Soft ; ;Расход;;;;
14 июля 2019 г., 12:00:00;40,00 ₽;Наличка;;;2 740,00 ₽;Еда ; Кока кола;Расход;;;;
14 июля 2019 г., 12:00:00;195,00 ₽;Наличка;;;2 545,00 ₽;Еда ; Столовка;Расход;;;;
14 июля 2019 г., 12:00:00;2 115,00 ₽;Наличка;;;4 660,00 ₽;Другое+ ; ;Доход;;;;
15 июля 2019 г., 12:00:00;1 000,00 ₽;Наличка;;;3 660,00 ₽;Квартира ; За свет Всего 1500 рублей;Расход;;;;
15 июля 2019 г., 12:00:00;25 000,00 ₽;Наличка;;;-21 340,00 ₽;Квартира ; За квартиру;Расход;;;;
15 июля 2019 г., 12:00:00;29 000,00 ₽;Кредитка;29 000,00 ₽;Наличка;20 940,00 ₽;; ;Перевод средств;;;;
15 июля 2019 г., 12:00:00;30 ,00 ₽;Кредитка;;;20 910,00 ₽;Soft ; ;Расход;;;;
